title,day_posted,link,price,location,condition,make / manufacturer,model name / number
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 13,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7520817079.html,"$4,000", (Midtown),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 13,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7520816498.html,"$3,000", (brooklyn),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 13,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7520816640.html,"$3,000", (brooklyn),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 13,https://newyork.craigslist.org/jsy/wad/d/newark-top-iphones-buyer-we-buy-iphone/7520816148.html,"$4,000", (new jersey),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 13,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7520816213.html,"$4,000", (Midtown),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Aug 12,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7520572437.html,$999, (404 utica ave 917200111ZERO),,,
BUYING IPHONE 13 12 11 PRO MAX GET TOP DOLLAR FOR UNWATNED IPHONES,Aug 12,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-iphone-pro-max-get-top/7520572627.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 12,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7520573053.html,"$9,999", (404 utica ave 917200111ZERO),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Aug 12,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphone-buyer-we-buy-iphone/7520555957.html,$0, (Union Square),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 12,https://newyork.craigslist.org/jsy/wad/d/newark-top-iphones-buyer-we-buy-iphone/7520322802.html,"$4,000", (new jersey),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 12,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7520322450.html,"$4,000", (Midtown),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Aug 12,https://newyork.craigslist.org/brx/wad/d/bronx-top-iphone-buyer-we-buy-iphone-11/7520479507.html,$0, (bronx),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 12,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7520462563.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Aug 12,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7520462861.html,$999, (404 utica ave 917200111ZERO),,,
BUYING OCULUS QUEST 2 PS5 NINTENDO OLED,Aug 12,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-oculus-quest-ps5/7520463164.html,$0, (404 utica ave 917200111ZERO),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 11,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7520323025.html,"$3,000", (brooklyn),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Aug 11,https://newyork.craigslist.org/brx/wad/d/bronx-top-iphone-buyer-we-buy-iphone-11/7520218087.html,$0, (bronx),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Aug 11,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphone-buyer-we-buy-iphone/7520179778.html,$0, (Chelsea),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 11,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7520079333.html,"$9,999", (404 utica ave 917200111ZERO),,,
WE BUY ALL APPLE PRODUCTS UP TO 90. NEED BULK. GET CASH ON THE SPOT!!,Aug 11,https://newyork.craigslist.org/brx/wad/d/bronx-we-buy-all-apple-products-up-to/7520035013.html,"$2,000", (Bronx),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Aug 11,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7520027956.html,$999, (404 utica ave 917200111ZERO),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 11,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7520023450.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING OCULUS QUEST 2 PS5 NINTENDO OLED,Aug 11,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-oculus-quest-ps5/7520023290.html,$0, (404 utica ave 917200111ZERO),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 10,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7519877386.html,"$4,000", (Midtown),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 10,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7519804186.html,"$4,000", (Midtown),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 10,https://newyork.craigslist.org/jsy/wad/d/newark-top-iphones-buyer-we-buy-iphone/7519804366.html,"$4,000", (new jersey),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 10,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7519803940.html,"$3,000", (brooklyn),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Aug 10,https://newyork.craigslist.org/brx/wad/d/bronx-top-iphone-buyer-we-buy-iphone-11/7519755384.html,$0, (bronx),,,
Wanted Old Motorcycles 📞1(800) 220-9683 www.wantedoldmotorcycles.com,Aug 10,https://newyork.craigslist.org/que/wad/d/astoria-wanted-old-motorcycles/7519743325.html,"$9,999", (Call📞1(800)220-9683 🏍🏍🏍Website: wantedoldmotorcycles.com),,,
BUYING OCULUS QUEST 2 PS5 NINTENDO OLED,Aug 10,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-oculus-quest-ps5/7519595611.html,$0, (404 utica ave 917200111ZERO),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Aug 10,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7519594139.html,$999, (404 utica ave 917200111ZERO),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 10,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7519594258.html,"$9,999", (404 utica ave 917200111ZERO),,,
