title,day_posted,link,price,location,condition,fuel,odometer,title_status,transmission,type,size
2010 BUICK LACROSSE,Nov  1,https://newyork.craigslist.org/brk/cto/d/brooklyn-2010-buick-lacrosse/7224067363.html,"$1,650", (Brooklyn),good,gas,,clean,automatic,sedan,full-size
1995 chevy G20,Nov  1,https://newyork.craigslist.org/wch/cto/d/yonkers-1995-chevy-g20/7223970729.html,"$1,500", (westchester),,gas,75000,clean,automatic,,
Chevy Silverado 2500hd,Nov  1,https://newyork.craigslist.org/fct/cto/d/fairfield-chevy-silverado-2500hd/7223959662.html,"$1,234", (Fairfield),,gas,,clean,automatic,,
2004 Cadillac CTS,Nov  1,https://newyork.craigslist.org/stn/cto/d/staten-island-2004-cadillac-cts/7223948148.html,"$1,999", (Rossville),fair,gas,,clean,automatic,sedan,
05 Jeep Grand Cherokee,Nov  1,https://newyork.craigslist.org/que/cto/d/floral-park-05-jeep-grand-cherokee/7223810914.html,"$2,000","
pic
",good,gas,,clean,automatic,SUV,full-size
1998 Mercedes,Nov  1,https://newyork.craigslist.org/lgi/cto/d/miller-place-1998-mercedes/7223687275.html,"$1,050", (Mt Sinai),,gas,180000,clean,automatic,,
2002 Honda Accord,Nov  1,https://newyork.craigslist.org/wch/cto/d/yonkers-2002-honda-accord/7223614267.html,"$1,750","
pic
",,gas,,clean,automatic,,
2003 toyota Avalon XLE,Oct 31,https://newyork.craigslist.org/que/cto/d/flushing-2003-toyota-avalon-xle/7223595301.html,"$1,800","
pic
",new,gas,,clean,automatic,,
2001 Toyota Camry 6 cylinder,Oct 31,https://newyork.craigslist.org/fct/cto/d/southport-2001-toyota-camry-cylinder/7223544372.html,"$1,000","
pic
",fair,gas,180000,clean,automatic,,
'01 Jaguar XKR,Oct 31,https://newyork.craigslist.org/mnh/cto/d/staten-island-01-jaguar-xkr/7223514040.html,"$1,950", (Staten Island),good,gas,,salvage,automatic,,
2009 FORD ECONOLINE,Oct 31,https://newyork.craigslist.org/wch/cto/d/scarsdale-2009-ford-econoline/7223466353.html,"$1,900"," (scarsdale, ny)",fair,gas,,clean,automatic,van,full-size
Cash For Unwanted Cars,Oct 31,https://newyork.craigslist.org/brk/cto/d/brooklyn-cash-for-unwanted-cars/7223441473.html,"$2,000", (Sheepshead Bay Brooklyn),,gas,116,clean,automatic,SUV,
2007 BMW 328,Oct 31,https://newyork.craigslist.org/que/cto/d/fresh-meadows-2007-bmw-328/7223433825.html,"$1,200", (Fresh Meadows),salvage,gas,,salvage,automatic,,mid-size
2003 Nissan Sentra,Oct 31,https://newyork.craigslist.org/lgi/cto/d/freeport-2003-nissan-sentra/7223388945.html,"$1,500", (Freeport),,gas,,clean,automatic,,
Cadillac deville 2005,Oct 31,https://newyork.craigslist.org/lgi/cto/d/hempstead-cadillac-deville-2005/7223363305.html,"$1,500", (Hempstead),,gas,,clean,automatic,sedan,full-size
2000 Gold Champagne Honda Accord,Oct 31,https://newyork.craigslist.org/brx/cto/d/bronx-2000-gold-champagne-honda-accord/7223334898.html,"$1,700", (Bronx),good,gas,135000,clean,automatic,sedan,compact
2003 Gold Nissan Maxima,Oct 31,https://newyork.craigslist.org/brx/cto/d/whitestone-2003-gold-nissan-maxima/7223332447.html,"$1,700", (Bronx),,,,,,,
WE BUY CARS CASH ON THE SPOT,Oct 31,https://newyork.craigslist.org/brk/cto/d/brooklyn-we-buy-cars-cash-on-the-spot/7223318983.html,"$1,000", (Brooklyn),excellent,gas,,clean,automatic,,
Driving Vehicle $1000 Neg,Oct 31,https://newyork.craigslist.org/que/cto/d/east-elmhurst-driving-vehicle-1000-neg/7223294880.html,"$1,000", (East Elmhurst),fair,gas,189548,clean,automatic,,
2011 Chevy Impala,Oct 31,https://newyork.craigslist.org/lgi/cto/d/glen-cove-2011-chevy-impala/7223120010.html,"$1,500", (Glen Cove),fair,gas,,clean,manual,sedan,full-size
1998 Jeep Grand Cherokee,Oct 30,https://newyork.craigslist.org/brk/cto/d/brooklyn-1998-jeep-grand-cherokee/7222899771.html,"$1,200", (Brooklyn),fair,gas,,clean,automatic,,
gmc savana,Oct 30,https://newyork.craigslist.org/mnh/cto/d/new-york-gmc-savana/7222746909.html,"$2,000","
pic
",,gas,,clean,automatic,,full-size
2003 Dodge Ram Pickup,Oct 30,https://newyork.craigslist.org/wch/cto/d/armonk-2003-dodge-ram-pickup/7222896162.html,"$2,000", (Armonk),fair,gas,112801,clean,automatic,,
2006 Subaru Outback Wagon (Plates and Registration Same day),Oct 30,https://newyork.craigslist.org/brk/cto/d/brooklyn-2006-subaru-outback-wagon/7222729809.html,"$1,995", (williamsburg brooklyn),excellent,gas,180000,clean,automatic,wagon,mid-size
Acura CL 2001,Oct 30,https://newyork.craigslist.org/que/cto/d/jamaica-acura-cl-2001/7222649858.html,"$2,000","
pic
",good,gas,,clean,automatic,,
2005 Jaguar 4.2 ( price deeply discounted),Oct 29,https://newyork.craigslist.org/que/cto/d/jamaica-2005-jaguar-42-price-deeply/7222527254.html,"$1,700", (Jamaica),good,gas,118000,clean,automatic,sedan,full-size
Paying $2000 for any car cash today,Oct 29,https://newyork.craigslist.org/que/cto/d/new-york-paying-2000-for-any-car-cash/7222466038.html,"$2,000", (Long Island city),good,gas,150,clean,automatic,mini-van,mid-size
1988 Plymouth Horizon,Oct 29,https://newyork.craigslist.org/lgi/cto/d/elmont-1988-plymouth-horizon/7222359856.html,"$1,500", (Elmont),fair,gas,116500,clean,automatic,hatchback,compact
Mazda 3 2005 - MANUAL,Oct 29,https://newyork.craigslist.org/fct/cto/d/norwalk-mazda-manual/7222211628.html,"$1,850", (Norwalk),,gas,165000,clean,manual,,
2003 Honda Odyssey EXL,Oct 29,https://newyork.craigslist.org/brk/cto/d/brooklyn-2003-honda-odyssey-exl/7222173798.html,"$2,000", (Brooklyn NY),,gas,,clean,automatic,,
2002 Nissan Sentra GXE,Oct 29,https://newyork.craigslist.org/jsy/cto/d/newark-2002-nissan-sentra-gxe/7222058616.html,"$1,600", (Newark),new,gas,96000,clean,automatic,sedan,full-size
2003 toyota 4 runner,Oct 28,https://newyork.craigslist.org/que/cto/d/jamaica-2003-toyota-runner/7221934808.html,"$1,100", (queens ny),fair,gas,,clean,automatic,SUV,sub-compact
2001 Buick Lesabre $1500 OBO,Oct 28,https://newyork.craigslist.org/fct/cto/d/bridgeport-2001-buick-lesabre-1500-obo/7221888677.html,"$1,500", (Bridgeport),,gas,,clean,automatic,,
Subaru Outback Legacy LL Bean Edition,Oct 28,https://newyork.craigslist.org/fct/cto/d/brookfield-subaru-outback-legacy-ll/7221668830.html,"$1,000", (-FIRM- Brookfield),good,gas,218000,clean,automatic,hatchback,mid-size
2007 ford taurus for sale,Oct 28,https://newyork.craigslist.org/que/cto/d/far-rockaway-2007-ford-taurus-for-sale/7221654520.html,"$1,000", (far rockaway),good,gas,121235,clean,automatic,,full-size
Ford escape 2009 hybrid for sale,Oct 28,https://newyork.craigslist.org/brk/cto/d/staten-island-ford-escape-2009-hybrid/7221530502.html,"$1,500", (Staten island),fair,hybrid,265000,clean,automatic,SUV,mid-size
Audi a4 2004,Oct 28,https://newyork.craigslist.org/brk/cto/d/brooklyn-audi-a4-2004/7221492704.html,"$1,300", (Brooklyn),fair,gas,137000,clean,automatic,,
1995 Pathfinder SE,Oct 27,https://newyork.craigslist.org/brx/cto/d/bronx-1995-pathfinder-se/7221365341.html,"$1,200", (Bronx),good,gas,,clean,automatic,SUV,mid-size
2002 Ford Focus,Oct 27,https://newyork.craigslist.org/brk/cto/d/brooklyn-2002-ford-focus/7221329616.html,"$1,750","
pic
",,gas,125000,clean,automatic,,
2004 Toyota Camry LE,Oct 27,https://newyork.craigslist.org/mnh/cto/d/new-york-2004-toyota-camry-le/7221245723.html,"$1,900", (Inwood / Wash Hts),good,gas,201500,clean,automatic,sedan,
2002 Chevy Van,Oct 27,https://newyork.craigslist.org/que/cto/d/ozone-park-2002-chevy-van/7221157353.html,"$1,000","
",,gas,,clean,automatic,van,
Ford Mustang 1995 convertible with T-bar,Oct 27,https://newyork.craigslist.org/que/cto/d/astoria-ford-mustang-1995-convertible/7221139035.html,"$1,500","
",good,gas,125000,clean,automatic,convertible,mid-size
Nissan quest for sale 2005,Oct 27,https://newyork.craigslist.org/que/cto/d/brooklyn-nissan-quest-for-sale-2005/7221027400.html,"$1,100", (Ozone park),,gas,,clean,automatic,mini-van,
1990 GMC 2500 PICKUP W/SNOW PLOW,Oct 27,https://newyork.craigslist.org/lgi/cto/d/northport-1990-gmc-2500-pickup-snow-plow/7220965942.html,"$2,000", (N. HUNTINGTON),fair,gas,45466,clean,automatic,pickup,full-size
